United States,"2,596,770","128,152",North America
Brazil,"1,315,941","57,103",South America
Russia,"627,646","8,969",Europe
India,"529,889","16,112",Asia
United Kingdom,"310,250","43,514",Europe
Spain,"295,549","28,341",Europe
Peru,"275,989","9,135",South America
Chile,"267,766","5,347",South America
Italy,"240,136","34,716",Europe
Iran,"220,180","10,364",Asia
Mexico,"212,802","26,381",North America
Pakistan,"202,955","4,118",Asia
Turkey,"195,883","5,082",Asia
Germany,"194,689","9,026",Europe
Saudi Arabia,"178,504","1,511",Asia
France,"162,936","29,778",Europe
Bangladesh,"133,978","1,695",Asia
South Africa,"131,800","2,413",Africa
Canada,"103,032","8,516",North America
Qatar,"93,663",110,Asia
Colombia,"88,591","2,939",South America
China,"83,500","4,634",Asia
Sweden,"65,137","5,280",Europe
Egypt,"63,923","2,708",Africa
Belgium,"61,209","9,732",Europe
Belarus,"61,095",377,Europe
Argentina,"57,744","1,207",South America
Ecuador,"54,574","4,424",South America
Indonesia,"52,812","2,720",Asia
Netherlands,"50,074","6,105",Europe
United Arab Emirates,"47,360",311,Asia
Kuwait,"44,391",344,Asia
Singapore,"43,459",26,Asia
Iraq,"43,262","1,660",Asia
Ukraine,"42,982","1,129",Europe
Portugal,"41,189","1,561",Europe
Oman,"36,953",159,Asia
Philippines,"34,803","1,236",Asia
Poland,"33,714","1,435",Europe
Switzerland,"31,555","1,962",Europe
Afghanistan,"30,967",737,Asia
Bolivia,"30,676",970,South America
Panama,"30,658",592,North America
Dominican Republic,"30,619",718,North America
Romania,"26,022","1,589",Europe
Ireland,"25,437","1,734",Europe
Bahrain,"25,267",78,Asia
Armenia,"24,645",426,Asia
Nigeria,"24,077",558,Africa
Israel,"23,421",317,Asia
Kazakhstan,"20,780",173,Asia
Japan (+Diamond Princess),"19,009",984,Asia
Austria,"17,580",700,Europe
Honduras,"17,007",479,North America
Ghana,"16,431",103,Africa
Guatemala,"16,397",706,North America
Moldova,"16,080",521,Europe
Azerbaijan,"15,890",193,Asia
Serbia,"13,792",267,Europe
Algeria,"12,968",892,Africa
South Korea,"12,715",282,Asia
Denmark,"12,675",604,Europe
Cameroon,"12,592",313,Africa
Nepal,"12,309",28,Asia
Morocco,"11,877",220,Africa
Czech Republic (Czechia),"11,298",349,Europe
Sudan,"9,257",572,Africa
Côte d'Ivoire,"8,944",66,Africa
Norway,"8,846",249,Europe
Malaysia,"8,616",121,Asia
Uzbekistan,"7,725",20,Asia
Australia,"7,686",104,Australia/Oceania
Finland,"7,198",328,Europe
DR Congo,"6,690",153,Africa
Senegal,"6,459",102,Africa
El Salvador,"5,934",152,North America
North Macedonia,"5,906",277,Europe
Kenya,"5,811",141,Africa
Tajikistan,"5,799",52,Asia
Haiti,"5,777",100,North America
Ethiopia,"5,570",94,Africa
Guinea,"5,291",30,Africa
Gabon,"5,209",40,Africa
Venezuela,"5,130",42,South America
Kyrgyzstan,"4,748",47,Asia
Djibouti,"4,643",52,Africa
Bulgaria,"4,625",216,Europe
Luxembourg,"4,217",110,Europe
Hungary,"4,142",581,Europe
Mauritania,"4,025",121,Africa
Bosnia and Herzegovina,"3,935",178,Europe
French Guiana,"3,461",12,South America
Central African Republic,"3,429",45,Africa
Greece,"3,366",191,Europe
Thailand,"3,162",58,Asia
